,Artist,Area
166,Raimund Abraham,5757.671936520001
167,Tadao Ando,42075.785641409995
168,Tadao Ando,1370.6000000000001
169,Tadao Ando,987.1010865100001
170,Tadao Ando,2480.95
171,Arata Isozaki,6356.84
172,Arata Isozaki,5214.42537252
173,Arata Isozaki,6356.84
174,Arata Isozaki,6825.0
175,Arata Isozaki,6842.009999999999
177,Arata Isozaki,6825.0
178,"Theo van Doesburg (Christian Emil Marie Küpper), Cornelis van Eesteren",3271.84
179,Arata Isozaki,2565.0499999999997
180,Arata Isozaki,2577.25
181,Arata Isozaki,1509.75
182,Arata Isozaki,1521.95
183,Arata Isozaki,2595.5499999999997
184,Bernard Tschumi,1237.50466876
186,Frank Lloyd Wright,602.64
187,Frank Lloyd Wright,611.0099999999999
188,Frank Lloyd Wright,611.2800000000001
189,Frank Lloyd Wright,611.0099999999999
190,Frank Lloyd Wright,602.64
191,Frank Lloyd Wright,602.64
192,Frank Lloyd Wright,619.77
193,Frank Lloyd Wright,602.64
194,Frank Lloyd Wright,1330.4546609083202
195,"Roberto Burle Marx, Oscar Niemeyer",15155.329999999998
196,"Roberto Burle Marx, Oscar Niemeyer",14974.009999999998
197,Neil M. Denari,5224.8
198,Ludwig Mies van der Rohe,33840.0
200,Mario Botta,8949.159999999998
201,Mario Botta,5496.26
202,Mario Botta,4124.320000000001
203,Mario Botta,2168.5499999999997
204,Mario Botta,832.65
205,Mario Botta,1433.5
206,R. Buckminster Fuller,4829.76
207,Mario Botta,5022.43
208,R. Buckminster Fuller,6016.34
209,Mario Botta,5022.43
210,Mario Botta,5022.43
211,Mario Botta,5022.43
212,Mario Botta,12492.0
213,Mario Botta,7130.310000000001
214,Mario Botta,7130.310000000001
215,Mario Botta,13682.52
216,Mario Botta,17505.079999999998
217,Mario Botta,4013.2000000000003
218,Mario Botta,6561.030000000001
219,Mario Botta,1609.92
220,Mario Botta,1611.09352026
221,Mario Botta,1611.09352026
222,Mario Botta,9117.32
223,Mario Botta,9117.32
224,Frank Lloyd Wright,2627.22274276
225,Alessandro Mendini,1838.96
226,Frank Lloyd Wright,973.5
227,Frank Lloyd Wright,973.5
228,Roberto Burle Marx,14458.080000000002
229,Herbert Bayer,2318.76
230,Leon Krier,289.8
231,Ludwig Mies van der Rohe,7410.191364519999
232,Ludwig Mies van der Rohe,7410.191364519999
233,Ludwig Mies van der Rohe,7410.191364519999
234,Ludwig Mies van der Rohe,7989.7300000000005
235,Ludwig Mies van der Rohe,7989.7300000000005
236,Ludwig Mies van der Rohe,669.9
237,Daniel Libeskind,6059.687683769999
238,"Thom Mayne, Andrew Zago",7741.92
240,"Thom Mayne, Andrew Zago",7711.4400000000005
241,"Morphosis, Santa Monica, CA, Thom Mayne, Andrew Zago",7741.95556004
242,"Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp",5645.171590020001
243,Aldo Rossi,922.6299999999999
244,Joel Sanders,3562.4
245,Joel Sanders,854.0
246,Massimo Scolari,811.49445588
247,Frank Lloyd Wright,2298.3923425099997
248,Frank Lloyd Wright,5231.260206770001
249,Raimund Abraham,254.54000000000002
250,Raimund Abraham,827.4
252,Erik Gunnar Asplund,558.8719455
253,"Erik Gunnar Asplund, Sigurd Lewerentz",560.6999999999999
254,"Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano",8091.000000000001
255,Leon Krier,2662.16
256,Leon Krier,630.0
257,Leon Krier,864.8
258,Richard Meier,2879.03723151
259,Richard Meier,1848.1911537600001
260,Richard Meier,1451.6176200099999
261,Richard Meier,1307.21025388
262,Richard Meier,3270.97266176
263,Richard Meier,2525.8114965100003
264,Richard Meier,3185.7914757599997
265,Richard Meier,1462.10166051
